date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
2018-03-25,1.47,207028.28,2946.6,85213.8,63349.05,55518.83,29054.93,7662.55,18801.35,conventional,2018,Grand Rapids
2018-03-25,1.34,8539.23,73.78,1301.09,0.0,7164.36,7162.69,1.67,0.0,organic,2018,Grand Rapids
2018-03-25,1.18,4245947.2,860997.47,1144066.23,459002.28,1781881.22,1397088.59,282886.2,101906.43,conventional,2018,Great Lakes
2018-03-25,1.47,182492.41,5140.14,51115.63,0.0,125061.81,102033.82,23027.99,0.0,organic,2018,Great Lakes
2018-03-25,1.21,330371.24,87782.44,137599.47,131.89,104857.44,95210.59,7089.08,2557.77,conventional,2018,Harrisburg/Scranton
2018-03-25,1.36,23169.17,371.93,239.04,9.87,22548.33,22545.0,3.33,0.0,organic,2018,Harrisburg/Scranton
2018-03-25,1.44,345963.16,17715.06,243023.15,242.2,84982.75,82409.99,1066.1,1506.66,conventional,2018,Hartford/Springfield
2018-03-25,2.09,20242.65,144.4,10949.63,0.0,9148.62,9137.73,10.89,0.0,organic,2018,Hartford/Springfield
2018-03-25,0.56,2120511.03,837700.97,162473.38,4190.48,1116146.2,952254.7,161188.17,2703.33,conventional,2018,Houston
2018-03-25,1.31,36999.72,8247.81,67.33,0.0,28684.58,28094.58,590.0,0.0,organic,2018,Houston
2018-03-25,1.05,228837.36,53795.52,53103.06,7008.97,114929.81,96343.12,15834.92,2751.77,conventional,2018,Indianapolis
2018-03-25,1.28,9506.07,319.39,1427.13,0.0,7685.05,3437.74,4247.31,0.0,organic,2018,Indianapolis
2018-03-25,1.3,183489.03,97376.71,9226.39,569.02,76316.91,41255.77,34987.81,73.33,conventional,2018,Jacksonville
2018-03-25,1.75,5518.73,171.22,806.65,3.93,4536.93,2944.89,1592.04,0.0,organic,2018,Jacksonville
2018-03-25,1.01,382746.42,76054.73,122475.03,6496.13,177720.53,75499.86,101806.23,414.44,conventional,2018,Las Vegas
2018-03-25,1.65,10720.47,1541.02,1842.23,0.0,7337.22,7283.04,54.18,0.0,organic,2018,Las Vegas
2018-03-25,1.02,2843541.07,1007972.48,439940.61,63511.29,1332116.69,1248694.27,26861.69,56560.73,conventional,2018,Los Angeles
2018-03-25,1.74,91739.92,11197.66,29959.26,0.0,50583.0,50420.81,162.19,0.0,organic,2018,Los Angeles
2018-03-25,1.04,126662.1,31512.47,24342.6,306.07,70500.96,49898.62,19277.55,1324.79,conventional,2018,Louisville
2018-03-25,1.46,4173.7,8.0,988.64,0.0,3177.06,2031.65,1145.41,0.0,organic,2018,Louisville
2018-03-25,1.37,698961.15,474642.82,53923.97,2049.21,168345.15,106478.51,61776.64,90.0,conventional,2018,Miami/Ft. Lauderdale
2018-03-25,1.34,8620.15,111.52,296.6,0.0,8212.03,8212.03,0.0,0.0,organic,2018,Miami/Ft. Lauderdale
2018-03-25,1.14,3911075.35,967164.69,1347066.73,25014.31,1571829.62,1390840.94,164970.47,16018.21,conventional,2018,Midsouth
2018-03-25,1.55,181040.19,3445.85,41893.24,641.59,135059.51,125890.81,9168.7,0.0,organic,2018,Midsouth
2018-03-25,0.95,306280.52,125788.54,10713.8,334.61,169443.57,136737.44,30406.07,2300.06,conventional,2018,Nashville
2018-03-25,1.48,7250.69,43.77,1759.47,0.0,5447.45,4834.97,612.48,0.0,organic,2018,Nashville
2018-03-25,1.04,305105.53,171335.77,20076.04,2425.1,111268.62,94895.33,15963.29,410.0,conventional,2018,New Orleans/Mobile
2018-03-25,1.36,8024.7,275.67,94.25,0.0,7654.78,7288.89,365.89,0.0,organic,2018,New Orleans/Mobile
2018-03-25,1.34,1774776.77,63905.98,908653.71,843.45,801373.63,774634.09,23833.93,2905.61,conventional,2018,New York
2018-03-25,1.86,118503.55,12695.3,35094.5,205.59,70508.16,70377.52,130.64,0.0,organic,2018,New York
2018-03-25,1.35,5134637.05,443927.42,2940789.85,6733.38,1743186.4,1495884.84,232372.83,14928.73,conventional,2018,Northeast
2018-03-25,1.58,374859.68,19823.16,58366.54,201.04,296468.94,265716.88,30752.06,0.0,organic,2018,Northeast
2018-03-25,1.46,483124.53,43595.07,365913.24,1529.8,72086.42,34546.13,36509.18,1031.11,conventional,2018,Northern New England
2018-03-25,1.63,22596.13,9.44,257.67,0.0,22329.02,22329.02,0.0,0.0,organic,2018,Northern New England
2018-03-25,1.32,429132.5,258217.83,25970.97,1426.07,143517.63,90870.28,52357.35,290.0,conventional,2018,Orlando
2018-03-25,1.45,11040.51,209.54,1106.74,0.0,9724.23,8756.67,967.56,0.0,organic,2018,Orlando
2018-03-25,1.31,503277.65,43421.1,252219.75,248.04,207388.76,187566.62,17687.7,2134.44,conventional,2018,Philadelphia
2018-03-25,1.49,37893.5,3464.04,5737.9,9.42,28682.14,28637.44,44.7,0.0,organic,2018,Philadelphia
2018-03-25,0.59,1684537.69,932956.86,296968.67,14886.96,439725.2,216076.58,218329.73,5318.89,conventional,2018,Phoenix/Tucson
2018-03-25,1.52,15372.8,2399.71,3164.8,0.0,9808.29,9789.7,18.59,0.0,organic,2018,Phoenix/Tucson
2018-03-25,1.28,132097.87,44126.21,13225.39,1385.77,73360.5,39142.16,34191.67,26.67,conventional,2018,Pittsburgh
2018-03-25,1.38,16411.89,956.73,10.91,0.0,15444.25,15430.91,13.34,0.0,organic,2018,Pittsburgh
2018-03-25,1.08,2298609.62,870297.25,765738.57,8214.57,654359.23,603569.13,50091.31,698.79,conventional,2018,Plains
2018-03-25,1.54,74180.36,4775.73,19162.3,0.0,50242.33,38235.54,12006.79,0.0,organic,2018,Plains
2018-03-25,1.06,658169.39,75837.48,304991.92,14300.89,263039.1,166273.14,96427.92,338.04,conventional,2018,Portland
2018-03-25,1.66,31275.39,1746.29,8110.67,0.0,21418.43,1712.1,19700.47,5.86,organic,2018,Portland
2018-03-25,1.24,362959.17,91484.37,120803.28,5307.11,145364.41,139121.67,6242.74,0.0,conventional,2018,Raleigh/Greensboro
2018-03-25,2.02,13379.77,86.84,5923.16,98.37,7271.4,6881.8,389.6,0.0,organic,2018,Raleigh/Greensboro
2018-03-25,1.1,316217.11,77628.91,88215.28,1928.8,148444.12,135644.21,11246.17,1553.74,conventional,2018,Richmond/Norfolk
2018-03-25,1.42,17340.49,295.16,3478.97,81.25,13485.11,12149.49,1335.62,0.0,organic,2018,Richmond/Norfolk
2018-03-25,0.99,218058.0,62126.61,39027.74,219.42,116684.23,97377.29,18342.66,964.28,conventional,2018,Roanoke
2018-03-25,1.6,9097.89,82.57,1984.01,0.0,7031.31,6152.25,879.06,0.0,organic,2018,Roanoke
2018-03-25,1.13,570446.95,135652.39,361227.57,812.1,72754.89,67652.14,624.2,4478.55,conventional,2018,Sacramento
2018-03-25,1.63,9608.95,1902.19,3572.34,0.0,4134.42,4124.42,10.0,0.0,organic,2018,Sacramento
2018-03-25,1.1,488321.93,140383.72,156203.0,13940.11,177795.1,168263.27,7442.94,2088.89,conventional,2018,San Diego
2018-03-25,1.75,19086.94,865.91,10936.47,0.0,7284.56,7284.56,0.0,0.0,organic,2018,San Diego
2018-03-25,1.01,1203274.11,198289.36,895797.12,2202.74,106984.89,103033.73,186.2,3764.96,conventional,2018,San Francisco
2018-03-25,1.64,34687.2,10102.62,10778.96,0.0,13805.62,13802.29,3.33,0.0,organic,2018,San Francisco
2018-03-25,1.4,524265.69,103573.88,149867.07,998.53,269826.21,155866.8,113666.7,292.71,conventional,2018,Seattle
2018-03-25,1.48,96048.46,1753.94,41364.9,40.54,52889.08,8496.71,44278.26,114.11,organic,2018,Seattle
2018-03-25,1.19,450658.34,205952.19,73267.19,4313.11,167125.85,132488.4,31527.74,3109.71,conventional,2018,South Carolina
2018-03-25,1.38,16025.2,163.55,4234.24,81.45,11545.96,9882.44,1663.52,0.0,organic,2018,South Carolina
2018-03-25,0.7,9010588.32,3999735.71,966589.5,30130.82,4014132.29,3398569.92,546409.74,69152.63,conventional,2018,South Central
2018-03-25,1.42,163496.7,29253.3,5080.04,0.0,129163.36,109052.26,20111.1,0.0,organic,2018,South Central
2018-03-25,1.23,4454904.4,2489234.81,333310.56,18460.82,1613898.21,1117431.16,484934.57,11532.48,conventional,2018,Southeast
2018-03-25,1.45,121917.39,1929.39,18391.86,110.05,101486.09,85313.41,16172.68,0.0,organic,2018,Southeast
2018-03-25,1.15,99982.71,23281.1,29539.62,544.24,46617.75,22506.27,23986.48,125.0,conventional,2018,Spokane
2018-03-25,1.59,5750.56,266.92,1707.42,2.21,3774.01,638.89,3105.71,29.41,organic,2018,Spokane
2018-03-25,1.25,165209.29,80921.04,7515.78,518.71,76253.76,65742.81,10499.14,11.81,conventional,2018,St. Louis
2018-03-25,1.82,8210.37,1426.49,2452.5,0.0,4331.38,3427.78,903.6,0.0,organic,2018,St. Louis
2018-03-25,1.38,93961.48,10004.38,57087.01,102.7,26767.39,11836.12,14931.27,0.0,conventional,2018,Syracuse
2018-03-25,1.04,14503.47,78.95,148.37,0.0,14276.15,9992.31,4283.84,0.0,organic,2018,Syracuse
2018-03-25,1.33,469300.74,289527.11,33226.48,1342.31,145204.84,87355.05,57643.12,206.67,conventional,2018,Tampa
2018-03-25,1.41,10028.49,138.15,773.22,0.0,9117.12,8208.82,908.3,0.0,organic,2018,Tampa
2018-03-25,1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53,conventional,2018,Total U.S.
2018-03-25,1.55,1559967.2,121007.94,342853.1,1070.24,1093861.09,902774.79,190941.84,144.46,organic,2018,Total U.S.
2018-03-25,0.93,7667064.46,2567279.74,1912986.38,118289.91,3068508.43,1309580.19,1745630.06,13298.18,conventional,2018,West
2018-03-25,1.6,271723.08,26996.28,77861.39,117.56,166747.85,87108.0,79495.39,144.46,organic,2018,West
2018-03-25,0.84,965185.06,438526.12,199585.9,11017.42,316055.62,153009.89,160999.1,2046.63,conventional,2018,West Tex/New Mexico
2018-03-25,1.62,15303.4,2325.3,2171.66,0.0,10806.44,10569.8,236.64,0.0,organic,2018,West Tex/New Mexico
2018-04-01,1.28,114852.06,13885.18,74413.76,65.51,26487.61,20243.57,5536.26,707.78,conventional,2018,Albany
2018-04-01,1.67,2866.94,151.79,269.7,0.0,2445.45,2442.12,3.33,0.0,organic,2018,Albany
2018-04-01,1.06,619926.81,271562.18,32940.65,1712.85,313711.13,226321.92,84730.13,2659.08,conventional,2018,Atlanta
2018-04-01,1.6,20104.16,530.93,4787.4,0.0,14785.83,12021.66,2764.17,0.0,organic,2018,Atlanta
2018-04-01,1.32,869885.02,95842.9,501275.77,4827.96,267938.39,262162.82,5738.91,36.66,conventional,2018,Baltimore/Washington
2018-04-01,1.44,47566.13,1717.93,5446.85,61.01,40340.34,40309.64,30.7,0.0,organic,2018,Baltimore/Washington
2018-04-01,1.27,98029.97,42387.03,2097.97,13308.76,40236.21,28671.04,11521.98,43.19,conventional,2018,Boise
2018-04-01,1.82,2245.59,69.11,888.37,0.0,1288.11,443.41,844.7,0.0,organic,2018,Boise
2018-04-01,1.36,615262.32,21802.25,451222.52,1834.46,140403.09,114096.33,24413.43,1893.33,conventional,2018,Boston
2018-04-01,1.62,39929.5,9.44,2009.16,0.0,37910.9,29324.46,8586.44,0.0,organic,2018,Boston
2018-04-01,1.14,182370.96,15659.02,75336.36,88.82,91286.76,42434.84,47977.48,874.44,conventional,2018,Buffalo/Rochester
2018-04-01,1.14,19629.0,383.03,155.36,0.0,19090.61,6670.48,12420.13,0.0,organic,2018,Buffalo/Rochester
2018-04-01,1.21,6134850.93,1998580.7,1843635.19,105071.07,2187563.97,1847127.0,244874.48,95562.49,conventional,2018,California
2018-04-01,1.75,221366.5,33892.76,85513.16,0.0,101960.58,101791.32,169.26,0.0,organic,2018,California
2018-04-01,1.32,258747.31,66103.18,86252.4,5495.76,100895.97,95017.7,5878.27,0.0,conventional,2018,Charlotte
2018-04-01,1.84,12619.47,19.03,5513.56,122.58,6964.3,6916.17,48.13,0.0,organic,2018,Charlotte
2018-04-01,1.4,910975.86,122368.45,470374.79,179201.71,139030.91,117942.69,19750.48,1337.74,conventional,2018,Chicago
2018-04-01,1.64,39738.48,277.87,27927.55,0.0,11533.06,11523.06,10.0,0.0,organic,2018,Chicago
2018-04-01,1.14,250601.42,56254.86,19733.62,9396.39,165216.55,131235.3,31735.83,2245.42,conventional,2018,Cincinnati/Dayton
2018-04-01,1.65,11890.0,674.92,4818.46,0.0,6396.62,4272.83,2123.79,0.0,organic,2018,Cincinnati/Dayton
2018-04-01,0.97,234928.69,64924.67,16453.42,2604.67,150945.93,114764.57,34309.4,1871.96,conventional,2018,Columbus
2018-04-01,1.36,9810.33,560.99,1388.29,0.0,7861.05,7248.41,612.64,0.0,organic,2018,Columbus
2018-04-01,0.75,1720132.29,730448.87,247763.98,7082.02,734837.42,613630.44,101358.01,19848.97,conventional,2018,Dallas/Ft. Worth
2018-04-01,1.42,33354.71,5164.64,1030.62,0.0,27159.45,24164.42,2995.03,0.0,organic,2018,Dallas/Ft. Worth
2018-04-01,1.21,829743.53,182084.91,180890.09,27515.15,439253.38,157426.63,281826.75,0.0,conventional,2018,Denver
2018-04-01,1.59,30661.96,6943.5,625.01,43.52,23049.93,21411.43,1638.5,0.0,organic,2018,Denver
2018-04-01,1.17,413385.75,77214.31,50290.13,42076.52,243804.79,178515.96,52567.27,12721.56,conventional,2018,Detroit
2018-04-01,1.27,21992.87,802.07,3184.76,0.0,17859.99,16612.55,1247.44,0.0,organic,2018,Detroit
2018-04-01,1.6,160073.32,2830.37,63145.8,39663.92,54433.23,33414.85,8541.93,12476.45,conventional,2018,Grand Rapids
2018-04-01,1.18,10172.47,24.06,1061.7,0.0,9086.71,9083.38,3.33,0.0,organic,2018,Grand Rapids
2018-04-01,1.23,3823014.19,710541.51,1022754.53,379362.33,1710355.82,1280749.35,367929.24,61677.23,conventional,2018,Great Lakes
2018-04-01,1.4,202003.28,5152.27,54837.45,6.83,141031.83,125307.59,15724.24,0.0,organic,2018,Great Lakes
2018-04-01,1.15,339166.38,83311.36,130914.49,171.62,124768.91,115712.44,6226.47,2830.0,conventional,2018,Harrisburg/Scranton
2018-04-01,1.4,19677.65,677.4,342.36,22.82,18635.07,18606.97,28.1,0.0,organic,2018,Harrisburg/Scranton
2018-04-01,1.4,328022.39,14239.48,227750.17,270.36,85762.38,82825.75,996.63,1940.0,conventional,2018,Hartford/Springfield
2018-04-01,1.86,30405.36,470.77,21255.57,0.0,8679.02,8482.7,196.32,0.0,organic,2018,Hartford/Springfield
2018-04-01,0.66,1901352.38,838917.67,199405.17,4251.4,858778.14,460693.84,397660.96,423.34,conventional,2018,Houston
2018-04-01,1.15,40863.98,8281.07,84.29,0.0,32498.62,31798.62,700.0,0.0,organic,2018,Houston
2018-04-01,1.09,189750.0,40161.29,37889.87,7255.2,104443.64,82954.27,17812.52,3676.85,conventional,2018,Indianapolis
2018-04-01,1.23,10655.15,254.97,1630.28,0.0,8582.77,4731.88,3850.89,0.0,organic,2018,Indianapolis
2018-04-01,1.07,223707.0,128594.28,11951.0,552.94,82608.78,42766.72,39735.39,106.67,conventional,2018,Jacksonville
2018-04-01,1.94,6809.6,212.62,1092.33,7.85,5496.8,2421.71,3075.09,0.0,organic,2018,Jacksonville
2018-04-01,1.05,383266.64,75992.21,127440.02,8268.97,171565.44,77299.09,93866.35,400.0,conventional,2018,Las Vegas
2018-04-01,1.71,14113.57,2285.7,3303.89,0.0,8523.98,8452.32,71.66,0.0,organic,2018,Las Vegas
2018-04-01,1.1,2908296.55,971376.39,406379.62,69651.39,1460889.15,1257933.72,139669.23,63286.2,conventional,2018,Los Angeles
2018-04-01,1.72,103982.03,14428.7,41294.82,0.0,48258.51,48124.84,133.67,0.0,organic,2018,Los Angeles
2018-04-01,1.07,115590.25,25565.85,23115.8,246.24,66662.36,42421.15,23095.66,1145.55,conventional,2018,Louisville
2018-04-01,1.45,5151.13,0.0,1374.52,0.0,3776.61,2403.59,1373.02,0.0,organic,2018,Louisville
2018-04-01,1.36,711418.48,474411.43,53581.63,1925.09,181500.33,115798.75,65541.58,160.0,conventional,2018,Miami/Ft. Lauderdale
2018-04-01,1.33,9416.08,114.34,244.9,0.0,9056.84,9046.84,10.0,0.0,organic,2018,Miami/Ft. Lauderdale
2018-04-01,1.2,3651322.1,838222.56,1269663.71,25804.69,1517631.14,1280949.31,224936.71,11745.12,conventional,2018,Midsouth
2018-04-01,1.61,179008.4,2903.16,41973.58,609.3,133522.36,125724.39,7797.97,0.0,organic,2018,Midsouth
2018-04-01,0.98,281208.41,119271.41,11195.1,487.16,150254.74,109269.65,38898.77,2086.32,conventional,2018,Nashville
2018-04-01,1.43,8486.38,19.78,1972.56,0.0,6494.04,5116.87,1377.17,0.0,organic,2018,Nashville
2018-04-01,1.05,338361.75,197322.31,23015.79,2219.29,115804.36,100124.34,15296.69,383.33,conventional,2018,New Orleans/Mobile
2018-04-01,1.41,8408.88,373.8,154.4,0.0,7880.68,7266.67,614.01,0.0,organic,2018,New Orleans/Mobile
2018-04-01,1.33,1861001.7,68288.47,943371.81,1211.54,848129.88,827489.53,16911.46,3728.89,conventional,2018,New York
2018-04-01,1.73,130310.98,22456.82,42468.03,732.66,64653.47,62281.47,2372.0,0.0,organic,2018,New York
2018-04-01,1.3,5168451.96,417377.0,2811702.32,7289.47,1932083.17,1670107.98,243152.97,18822.22,conventional,2018,Northeast
2018-04-01,1.59,366391.42,34992.49,80066.23,675.98,250656.72,213815.91,36840.81,0.0,organic,2018,Northeast
2018-04-01,1.41,486113.65,44967.32,358488.31,1447.27,81210.75,34392.24,45527.4,1291.11,conventional,2018,Northern New England
2018-04-01,1.62,25269.8,13.92,272.25,0.0,24983.63,24983.63,0.0,0.0,organic,2018,Northern New England
2018-04-01,1.2,471436.17,301579.77,26390.71,1588.44,141877.25,95911.57,45699.01,266.67,conventional,2018,Orlando
2018-04-01,1.39,9665.47,220.02,827.79,0.0,8617.66,7915.32,702.34,0.0,organic,2018,Orlando
2018-04-01,1.25,541911.64,48692.56,251714.37,506.68,240998.03,221000.14,17606.79,2391.1,conventional,2018,Philadelphia
2018-04-01,1.51,33183.87,5427.99,5937.84,6.83,21811.21,21699.19,112.02,0.0,organic,2018,Philadelphia
2018-04-01,0.75,1374624.38,613273.21,280007.62,14980.95,466362.6,242958.33,217528.71,5875.56,conventional,2018,Phoenix/Tucson
2018-04-01,1.52,19030.32,3186.53,3843.92,0.0,11999.87,11979.96,19.91,0.0,organic,2018,Phoenix/Tucson
2018-04-01,1.25,130947.95,36567.41,15495.95,1352.78,77531.81,49700.8,27821.01,10.0,conventional,2018,Pittsburgh
2018-04-01,1.38,17853.27,1103.73,9.58,0.0,16739.96,16729.96,10.0,0.0,organic,2018,Pittsburgh
2018-04-01,1.16,2122698.81,806170.63,649784.01,9332.56,657411.61,602960.19,53739.39,712.03,conventional,2018,Plains
2018-04-01,1.54,82570.44,5239.73,21746.87,19.73,55564.11,39435.26,16128.85,0.0,organic,2018,Plains
2018-04-01,1.23,615354.68,78297.74,226829.87,18359.68,291867.39,173703.86,117810.1,353.43,conventional,2018,Portland
2018-04-01,1.68,23497.3,1711.95,11360.01,1.79,10423.55,2837.35,7586.2,0.0,organic,2018,Portland
2018-04-01,1.27,363270.42,92515.83,120808.55,5391.27,144554.77,136555.96,7998.81,0.0,conventional,2018,Raleigh/Greensboro
2018-04-01,2.09,14883.17,85.72,5316.79,124.59,9356.07,9043.34,312.73,0.0,organic,2018,Raleigh/Greensboro
2018-04-01,1.14,296053.01,54325.88,99563.57,1940.52,140223.04,115848.07,24118.94,256.03,conventional,2018,Richmond/Norfolk
2018-04-01,1.41,17104.38,161.47,3359.73,74.66,13508.52,12877.11,631.41,0.0,organic,2018,Richmond/Norfolk
2018-04-01,1.03,190772.87,40582.03,40628.61,248.39,109313.84,82567.51,26309.67,436.66,conventional,2018,Roanoke
2018-04-01,1.58,9386.85,33.47,1875.65,0.0,7477.73,6371.45,1106.28,0.0,organic,2018,Roanoke
2018-04-01,1.35,520502.26,158328.97,281350.28,918.29,79904.72,70373.63,3045.38,6485.71,conventional,2018,Sacramento
2018-04-01,1.69,11973.68,2328.74,3104.08,0.0,6540.86,6537.53,3.33,0.0,organic,2018,Sacramento
2018-04-01,1.21,492809.3,131049.45,129866.05,17020.78,214873.02,147871.52,65133.72,1867.78,conventional,2018,San Diego
2018-04-01,1.8,22140.76,1118.68,14572.91,0.0,6449.17,6439.17,10.0,0.0,organic,2018,San Diego
2018-04-01,1.43,795482.4,232006.31,439602.63,2228.93,121644.53,116307.2,317.62,5019.71,conventional,2018,San Francisco
2018-04-01,1.82,39339.2,10094.08,9076.99,0.0,20168.13,20161.46,6.67,0.0,organic,2018,San Francisco
2018-04-01,1.42,533894.49,104371.63,146974.88,780.74,281767.24,164704.35,116553.57,509.32,conventional,2018,Seattle
2018-04-01,1.46,92822.06,1598.82,34839.11,34.11,56350.02,25538.36,30805.6,6.06,organic,2018,Seattle
2018-04-01,1.18,466524.77,216984.55,78228.05,3976.88,167335.29,127858.37,36205.73,3271.19,conventional,2018,South Carolina
2018-04-01,1.43,19346.79,172.25,4549.9,78.98,14545.66,13435.81,1109.85,0.0,organic,2018,South Carolina
2018-04-01,0.76,8515270.86,3813828.25,1116007.32,35651.4,3549783.89,2545095.22,936781.67,67907.0,conventional,2018,South Central
2018-04-01,1.34,174033.0,27551.37,6192.01,0.0,140289.62,119030.61,21259.01,0.0,organic,2018,South Central
2018-04-01,1.19,4696116.69,2670376.09,348682.53,17989.76,1659068.31,1159741.75,488154.25,11172.31,conventional,2018,Southeast
2018-04-01,1.48,128096.94,2174.66,19777.8,98.68,106045.8,91372.56,14673.24,0.0,organic,2018,Southeast
2018-04-01,1.29,86790.88,22550.9,24648.03,493.92,39098.03,26075.26,13002.94,19.83,conventional,2018,Spokane
2018-04-01,1.67,4939.6,315.29,1862.56,0.0,2761.75,1379.53,1382.22,0.0,organic,2018,Spokane
2018-04-01,1.23,155254.2,71758.91,6810.6,574.95,76109.74,67217.33,8892.41,0.0,conventional,2018,St. Louis
2018-04-01,1.79,8807.74,1509.66,2922.0,7.18,4368.9,3904.87,464.03,0.0,organic,2018,St. Louis
2018-04-01,1.16,90940.67,9117.76,43350.83,93.96,38378.12,20706.5,17671.62,0.0,conventional,2018,Syracuse
2018-04-01,1.1,9859.34,68.17,95.99,0.0,9695.18,4958.02,4737.16,0.0,organic,2018,Syracuse
2018-04-01,1.29,512191.03,330597.2,36285.49,1447.99,143860.35,99294.3,44422.72,143.33,conventional,2018,Tampa
2018-04-01,1.38,9983.85,149.02,667.42,0.0,9167.41,8256.67,910.74,0.0,organic,2018,Tampa
2018-04-01,1.1,41109688.72,13467728.25,10744041.46,732443.87,16165475.14,11826774.74,4055704.74,282995.66,conventional,2018,Total U.S.
2018-04-01,1.55,1634205.97,142018.15,385226.8,1519.38,1104466.74,943423.21,161037.33,6.2,organic,2018,Total U.S.
2018-04-01,1.06,6997963.2,2212631.49,1681811.86,151942.59,2951577.26,1440043.93,1496136.06,15397.27,conventional,2018,West
2018-04-01,1.6,280735.98,30111.71,75119.69,108.87,175395.71,126945.55,48443.96,6.2,organic,2018,West
2018-04-01,0.86,1008844.52,451622.94,219433.23,14668.03,323120.32,161070.38,159843.26,2206.68,conventional,2018,West Tex/New Mexico
2018-04-01,1.6,22401.63,3300.37,3061.39,0.0,16039.87,15646.37,393.5,0.0,organic,2018,West Tex/New Mexico
2018-04-08,1.04,143487.45,16436.56,106835.28,100.88,20114.73,16948.35,2704.16,462.22,conventional,2018,Albany
2018-04-08,1.69,2435.25,70.25,208.29,0.0,2156.71,2156.71,0.0,0.0,organic,2018,Albany
2018-04-08,0.91,733488.57,335235.84,36295.87,1647.27,360309.59,252494.92,105442.45,2372.22,conventional,2018,Atlanta
2018-04-08,1.31,28157.07,502.92,7003.27,0.0,20650.88,15064.51,5586.37,0.0,organic,2018,Atlanta
2018-04-08,1.28,908413.46,95809.46,544248.7,5203.48,263151.82,254897.0,8061.49,193.33,conventional,2018,Baltimore/Washington
2018-04-08,1.46,51057.93,1607.11,4958.66,69.98,44422.18,44401.38,20.8,0.0,organic,2018,Baltimore/Washington
2018-04-08,1.04,133274.07,40129.59,11448.41,12896.87,68799.2,22121.34,46473.4,204.46,conventional,2018,Boise
